panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,recomputed_meV,plotted_recomputed_meV,published_meV,difference_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV,reference_status
b,GW100,0.5,LUMO,4,4,100/100,121.54,121.54,121.54,-2.84217094304e-14,445.95,788,16_F2,-788,TensorGW reference output
b,GW100,0.5,LUMO,4,5,100/100,45.97,45.97,45.97,0,120,224,37_CBr4,-224,TensorGW reference output
b,GW100,0.5,LUMO,4,6,100/100,26.01,26.01,26.01,0,68.3,163,64_AlI3,-163,TensorGW reference output
b,GW100,0.5,LUMO,4,7,100/100,13.08,13.08,13.08,1.7763568394e-15,41,87,36_CCl4,-87,TensorGW reference output
b,GW100,0.5,LUMO,4,8,100/100,8.62,8.62,8.62,1.24344978758e-14,24.05,30,86_C7H8,-30,TensorGW reference output
b,GW100,0.5,LUMO,4,9,100/100,7.02,7.02,7.02,2.6645352591e-15,21,27,90_C6H5NH2,-27,TensorGW reference output
b,GW100,0.5,LUMO,5,10,100/100,7.41,7.41,7.41,-6.2172489379e-15,20.05,29,90_C6H5NH2,-29,TensorGW reference output
b,GW100,0.5,LUMO,5,2,100/100,541.08,541.08,541.08,0,1225.95,7395,43_LiH,-7395,TensorGW reference output
b,GW100,0.5,LUMO,5,3,100/100,198.22,198.22,198.22,0,575.85,1449,38_CI4,-1449,TensorGW reference output
b,GW100,0.5,LUMO,5,4,100/100,121.62,121.62,121.62,0,445.95,791,16_F2,-791,TensorGW reference output
b,GW100,0.5,LUMO,5,5,100/100,45.91,45.91,45.91,-7.1054273576e-15,120.1,225,37_CBr4,-225,TensorGW reference output
b,GW100,0.5,LUMO,5,6,100/100,26.02,26.02,26.02,0,67.35,163,64_AlI3,-163,TensorGW reference output
b,GW100,0.5,LUMO,5,7,100/100,12.94,12.94,12.94,5.3290705182e-15,41,89,36_CCl4,-89,TensorGW reference output
b,GW100,0.5,LUMO,5,8,100/100,8.34,8.34,8.34,8.881784197e-15,23.05,28,36_CCl4,-28,TensorGW reference output
b,GW100,0.5,LUMO,5,9,100/100,6.87,6.87,6.87,8.881784197e-15,20.05,27,29_C8H8,-27,TensorGW reference output
c,GW100,3.0,HOMO,2,10,100/100,40.86,40.86,40.86,4.26325641456e-14,122.5,869,100_CuCN,869,TensorGW reference output
c,GW100,3.0,HOMO,2,2,100/100,800.75,800.75,800.75,0,2930.55,4312,16_F2,4312,TensorGW reference output
c,GW100,3.0,HOMO,2,3,100/100,273.55,273.55,273.55,-5.68434188608e-14,1098.45,1880,16_F2,1880,TensorGW reference output
c,GW100,3.0,HOMO,2,4,100/100,97.33,97.33,97.33,-8.52651282912e-14,366.55,1107,100_CuCN,1107,TensorGW reference output
c,GW100,3.0,HOMO,2,5,100/100,56.19,56.19,56.19,-4.97379915032e-14,176.05,1069,100_CuCN,1069,TensorGW reference output
c,GW100,3.0,HOMO,2,6,100/100,43.44,43.44,43.44,-8.52651282912e-14,132.3,893,100_CuCN,893,TensorGW reference output
c,GW100,3.0,HOMO,2,7,100/100,41.49,41.49,41.49,-2.84217094304e-14,127.5,891,100_CuCN,891,TensorGW reference output
c,GW100,3.0,HOMO,2,8,100/100,40.53,40.53,40.53,4.26325641456e-14,128.35,875,100_CuCN,875,TensorGW reference output
c,GW100,3.0,HOMO,2,9,100/100,40.25,40.25,40.25,9.23705556488e-14,129.2,869,100_CuCN,869,TensorGW reference output
c,GW100,3.0,HOMO,3,10,100/100,9.74,9.74,9.74,-1.10134124043e-13,49.05,116,88_C6F6,-116,TensorGW reference output
c,GW100,3.0,HOMO,3,2,100/100,768.1,768.1,768.1,0,2813.15,4231,16_F2,4231,TensorGW reference output
c,GW100,3.0,HOMO,3,3,100/100,240.18,240.18,240.18,0,1066.85,1789,16_F2,1789,TensorGW reference output
c,GW100,3.0,HOMO,3,4,100/100,68.51,68.51,68.51,-5.68434188608e-14,277.65,829,16_F2,829,TensorGW reference output
c,GW100,3.0,HOMO,3,5,100/100,26.02,26.02,26.02,-3.90798504668e-14,89.2,313,100_CuCN,313,TensorGW reference output
c,GW100,3.0,HOMO,3,6,100/100,12.23,12.23,12.23,-1.26121335597e-13,63.2,112,88_C6F6,-112,TensorGW reference output
c,GW100,3.0,HOMO,3,7,100/100,9.82,9.82,9.82,-9.05941988094e-14,37.7,116,88_C6F6,-116,TensorGW reference output
c,GW100,3.0,HOMO,3,8,100/100,9.31,9.31,9.31,-5.3290705182e-14,34.4,115,88_C6F6,-115,TensorGW reference output
c,GW100,3.0,HOMO,3,9,100/100,8.9,8.9,8.9,-3.01980662698e-14,32.3,116,88_C6F6,-116,TensorGW reference output
c,GW100,3.0,HOMO,4,10,100/100,6.32,6.32,6.32,-1.05693231944e-13,19.05,122,88_C6F6,-122,TensorGW reference output
c,GW100,3.0,HOMO,4,2,100/100,758.46,758.46,758.46,0,2812.4,4213,16_F2,4213,TensorGW reference output
c,GW100,3.0,HOMO,4,3,100/100,231.96,231.96,231.96,2.84217094304e-14,1045,1778,16_F2,1778,TensorGW reference output
c,GW100,3.0,HOMO,4,4,100/100,63.99,63.99,63.99,-2.13162820728e-14,305.3,821,16_F2,821,TensorGW reference output
c,GW100,3.0,HOMO,4,5,100/100,21.68,21.68,21.68,3.19744231092e-14,78.75,290,100_CuCN,290,TensorGW reference output
c,GW100,3.0,HOMO,4,6,100/100,8.28,8.28,8.28,-1.20792265079e-13,27.65,108,88_C6F6,-108,TensorGW reference output
c,GW100,3.0,HOMO,4,7,100/100,6.46,6.46,6.46,3.5527136788e-14,25.6,126,88_C6F6,-126,TensorGW reference output
c,GW100,3.0,HOMO,4,8,100/100,5.64,5.64,5.64,-1.23456800338e-13,18.05,121,88_C6F6,-121,TensorGW reference output
c,GW100,3.0,HOMO,4,9,100/100,5.06,5.06,5.06,-1.95399252334e-14,14.05,121,88_C6F6,-121,TensorGW reference output
c,GW100,3.0,HOMO,5,10,100/100,5.68,5.68,5.68,-9.32587340685e-14,13.05,123,88_C6F6,-123,TensorGW reference output
c,GW100,3.0,HOMO,5,2,100/100,755.79,755.79,755.79,0,2812.3,4211,16_F2,4211,TensorGW reference output
c,GW100,3.0,HOMO,5,3,100/100,228.92,228.92,228.92,-8.52651282912e-14,990.7,1775,16_F2,1775,TensorGW reference output
c,GW100,3.0,HOMO,5,4,100/100,63.03,63.03,63.03,-4.97379915032e-14,303.35,819,16_F2,819,TensorGW reference output
c,GW100,3.0,HOMO,5,5,100/100,20.71,20.71,20.71,-8.881784197e-14,77.85,270,100_CuCN,270,TensorGW reference output
c,GW100,3.0,HOMO,5,6,100/100,7.65,7.65,7.65,-3.90798504668e-14,25.05,110,88_C6F6,-110,TensorGW reference output
