panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,raw_error_meV,error_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV
e,GW100,5,HOMO,5,4,100/100,58.74,58.74,272.55,819,16_F2,819
e,GW100,5,HOMO,5,5,100/100,19.66,19.66,93.85,270,100_CuCN,270
e,GW100,5,HOMO,5,6,100/100,6.82,6.82,20.25,117,88_C6F6,-117
e,GW100,5,HOMO,5,7,100/100,5.1,5.1,12.05,121,88_C6F6,-121
e,GW100,5,HOMO,5,8,100/100,4.58,4.58,11.05,122,88_C6F6,-122
e,GW100,5,HOMO,5,9,100/100,4.12,4.12,10,122,88_C6F6,-122
e,GW100,5,HOMO,5,10,100/100,5.48,5.48,13.05,122,88_C6F6,-122
f,GW100,5,LUMO,2,2,100/100,243.33,243.33,830.45,2977,16_F2,2977
f,GW100,5,LUMO,2,3,100/100,106.72,106.72,330.8,1409,16_F2,1409
f,GW100,5,LUMO,2,4,100/100,37.91,37.91,110.7,376,84_BeO,376
f,GW100,5,LUMO,2,5,100/100,18.49,18.49,63,150,16_F2,150
f,GW100,5,LUMO,2,6,100/100,13.52,13.52,49.5,74,56_TiF4,74
f,GW100,5,LUMO,2,7,100/100,13.01,13.01,39.05,72,56_TiF4,72
f,GW100,5,LUMO,2,8,100/100,13.04,13.04,40.8,74,11_K2,74
f,GW100,5,LUMO,2,9,100/100,13.36,13.36,39.85,74,11_K2,74
f,GW100,5,LUMO,2,10,100/100,13.41,13.41,43.7,70,11_K2,70
f,GW100,5,LUMO,3,2,100/100,227.95,227.95,798.95,2859,16_F2,2859
f,GW100,5,LUMO,3,3,100/100,97.06,97.06,310.05,1349,16_F2,1349
f,GW100,5,LUMO,3,4,100/100,29.72,29.72,114.45,376,84_BeO,376
f,GW100,5,LUMO,3,5,100/100,19.27,19.27,31,994,84_BeO,994
f,GW100,5,LUMO,3,6,100/100,4.51,4.51,15.05,24,98_Ag2,24
f,GW100,5,LUMO,3,7,100/100,3.96,3.96,13.05,28,11_K2,-28
f,GW100,5,LUMO,3,8,100/100,3.85,3.85,13.1,29,85_MgO,-29
f,GW100,5,LUMO,3,9,100/100,3.78,3.78,15.05,19,84_BeO,19
f,GW100,5,LUMO,3,10,100/100,4.49,4.49,16.05,64,84_BeO,64
f,GW100,5,LUMO,4,2,100/100,224.61,224.61,792.65,2897,16_F2,2897
f,GW100,5,LUMO,4,3,100/100,95.11,95.11,297.95,1336,16_F2,1336
f,GW100,5,LUMO,4,4,100/100,27.84,27.84,107.35,379,84_BeO,379
f,GW100,5,LUMO,4,5,100/100,18.1,18.1,26.25,1003,84_BeO,1003
f,GW100,5,LUMO,4,6,100/100,3.01,3.01,8.05,27,98_Ag2,27
