panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,published_meV
m,Si293H172,0.5,HOMO,3,5,350.0
m,Si293H172,0.5,HOMO,3,6,380.0
m,Si293H172,0.5,HOMO,3,7,142.0
m,Si293H172,0.5,HOMO,3,8,103.0
m,Si293H172,0.5,HOMO,3,9,33.0
m,Si293H172,0.5,HOMO,3,10,5.0
m,Si293H172,0.5,HOMO,4,2,895.0
m,Si293H172,0.5,HOMO,4,3,272.0
m,Si293H172,0.5,HOMO,4,4,185.0
m,Si293H172,0.5,HOMO,4,5,348.0
m,Si293H172,0.5,HOMO,4,6,379.0
m,Si293H172,0.5,HOMO,4,7,141.0
m,Si293H172,0.5,HOMO,4,8,100.0
m,Si293H172,0.5,HOMO,4,9,29.0
m,Si293H172,0.5,HOMO,4,10,35.0
m,Si293H172,0.5,HOMO,5,2,893.0
m,Si293H172,0.5,HOMO,5,3,270.0
m,Si293H172,0.5,HOMO,5,4,183.0
m,Si293H172,0.5,HOMO,5,5,346.0
m,Si293H172,0.5,HOMO,5,6,377.0
m,Si293H172,0.5,HOMO,5,7,138.0
m,Si293H172,0.5,HOMO,5,8,98.0
m,Si293H172,0.5,HOMO,5,9,26.0
m,Si293H172,0.5,HOMO,5,10,22.0
n,Si293H172,0.5,LUMO,2,2,520.0
n,Si293H172,0.5,LUMO,2,3,316.0
n,Si293H172,0.5,LUMO,2,4,748.0
n,Si293H172,0.5,LUMO,2,5,384.0
n,Si293H172,0.5,LUMO,2,6,220.0
n,Si293H172,0.5,LUMO,2,7,146.0
n,Si293H172,0.5,LUMO,2,8,112.0
n,Si293H172,0.5,LUMO,2,9,97.0
n,Si293H172,0.5,LUMO,2,10,70.0
n,Si293H172,0.5,LUMO,3,2,526.0
n,Si293H172,0.5,LUMO,3,3,319.0
n,Si293H172,0.5,LUMO,3,4,753.0
n,Si293H172,0.5,LUMO,3,5,387.0
n,Si293H172,0.5,LUMO,3,6,220.0
n,Si293H172,0.5,LUMO,3,7,136.0
n,Si293H172,0.5,LUMO,3,8,112.0
n,Si293H172,0.5,LUMO,3,9,95.0
n,Si293H172,0.5,LUMO,3,10,26.0
n,Si293H172,0.5,LUMO,4,2,530.0
n,Si293H172,0.5,LUMO,4,3,322.0
n,Si293H172,0.5,LUMO,4,4,756.0
n,Si293H172,0.5,LUMO,4,5,389.0
n,Si293H172,0.5,LUMO,4,6,222.0
n,Si293H172,0.5,LUMO,4,7,138.0
n,Si293H172,0.5,LUMO,4,8,107.0
n,Si293H172,0.5,LUMO,4,9,91.0
n,Si293H172,0.5,LUMO,4,10,24.0
n,Si293H172,0.5,LUMO,5,2,532.0
n,Si293H172,0.5,LUMO,5,3,323.0
n,Si293H172,0.5,LUMO,5,4,757.0
n,Si293H172,0.5,LUMO,5,5,390.0
n,Si293H172,0.5,LUMO,5,6,222.0
n,Si293H172,0.5,LUMO,5,7,135.0
n,Si293H172,0.5,LUMO,5,8,104.0
n,Si293H172,0.5,LUMO,5,9,87.0
n,Si293H172,0.5,LUMO,5,10,1.0
o,Si293H172,3.0,HOMO,2,2,340.0
o,Si293H172,3.0,HOMO,2,3,130.0
o,Si293H172,3.0,HOMO,2,4,64.0
o,Si293H172,3.0,HOMO,2,5,9.0
o,Si293H172,3.0,HOMO,2,6,2.0
o,Si293H172,3.0,HOMO,2,7,1.0
o,Si293H172,3.0,HOMO,2,8,1.0
o,Si293H172,3.0,HOMO,2,9,1.0
o,Si293H172,3.0,HOMO,2,10,1.0
o,Si293H172,3.0,HOMO,3,2,334.0
o,Si293H172,3.0,HOMO,3,3,124.0
o,Si293H172,3.0,HOMO,3,4,60.0
o,Si293H172,3.0,HOMO,3,5,5.0
o,Si293H172,3.0,HOMO,3,6,2.0
o,Si293H172,3.0,HOMO,3,7,2.0
o,Si293H172,3.0,HOMO,3,8,3.0
o,Si293H172,3.0,HOMO,3,9,4.0
o,Si293H172,3.0,HOMO,3,10,3.0
o,Si293H172,3.0,HOMO,4,2,330.0
o,Si293H172,3.0,HOMO,4,3,122.0
o,Si293H172,3.0,HOMO,4,4,59.0
o,Si293H172,3.0,HOMO,4,5,5.0
o,Si293H172,3.0,HOMO,4,6,2.0
o,Si293H172,3.0,HOMO,4,7,2.0
o,Si293H172,3.0,HOMO,4,8,4.0
o,Si293H172,3.0,HOMO,4,9,4.0
o,Si293H172,3.0,HOMO,4,10,3.0
o,Si293H172,3.0,HOMO,5,2,327.0
o,Si293H172,3.0,HOMO,5,3,119.0
o,Si293H172,3.0,HOMO,5,4,57.0
o,Si293H172,3.0,HOMO,5,5,3.0
o,Si293H172,3.0,HOMO,5,6,4.0
o,Si293H172,3.0,HOMO,5,7,4.0
o,Si293H172,3.0,HOMO,5,8,6.0
o,Si293H172,3.0,HOMO,5,9,5.0
o,Si293H172,3.0,HOMO,5,10,5.0
p,Si293H172,3.0,LUMO,2,2,165.0
p,Si293H172,3.0,LUMO,2,3,74.0
p,Si293H172,3.0,LUMO,2,4,39.0
p,Si293H172,3.0,LUMO,2,5,17.0
p,Si293H172,3.0,LUMO,2,6,6.0
p,Si293H172,3.0,LUMO,2,7,3.0
p,Si293H172,3.0,LUMO,2,8,1.0
p,Si293H172,3.0,LUMO,2,9,1.0
p,Si293H172,3.0,LUMO,2,10,1.0
p,Si293H172,3.0,LUMO,3,2,170.0
p,Si293H172,3.0,LUMO,3,3,72.0
p,Si293H172,3.0,LUMO,3,4,38.0
p,Si293H172,3.0,LUMO,3,5,14.0
p,Si293H172,3.0,LUMO,3,6,3.0
p,Si293H172,3.0,LUMO,3,7,1.0
p,Si293H172,3.0,LUMO,3,8,1.0
p,Si293H172,3.0,LUMO,3,9,1.0
p,Si293H172,3.0,LUMO,3,10,1.0
p,Si293H172,3.0,LUMO,4,2,172.0
p,Si293H172,3.0,LUMO,4,3,76.0
p,Si293H172,3.0,LUMO,4,4,40.0
p,Si293H172,3.0,LUMO,4,5,15.0
p,Si293H172,3.0,LUMO,4,6,6.0
p,Si293H172,3.0,LUMO,4,7,3.0
p,Si293H172,3.0,LUMO,4,8,1.0
p,Si293H172,3.0,LUMO,4,9,1.0
p,Si293H172,3.0,LUMO,4,10,1.0
p,Si293H172,3.0,LUMO,5,2,173.0
p,Si293H172,3.0,LUMO,5,3,75.0
p,Si293H172,3.0,LUMO,5,4,39.0
p,Si293H172,3.0,LUMO,5,5,14.0
p,Si293H172,3.0,LUMO,5,6,4.0
