system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.805646036916,1,172,172
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.805646036916,1,133,133
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.23235613464,1,124,124
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.23235613464,1,76,76
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.62323561346,1,36,36
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.62323561346,1,5,5
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.68403908795,1,38,38
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.68403908795,1,9,9
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.40390879479,1,27,27
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.40390879479,1,3,3
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-6,2.86753528773,1,3,3
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-6,2.86753528773,1,5,5
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1,1,60,60
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1,1,188,188
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,5,5
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,33,33
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2,1,2,2
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2,1,15,15
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3,1,0,1
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3,1,0,1
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4,1,2,2
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4,1,1,1
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5,1,2,2
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5,1,1,1
Si293H172,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1,1,1,53,53
Si293H172,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1,1,1,87,87
Si293H172,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,12,12
Si293H172,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,4,4
Si293H172,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-2,2,1,5,5
Si293H172,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-2,2,1,3,3
Si293H172,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-3,3,1,3,3
Si293H172,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-3,3,1,2,2
Si293H172,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-4,4,1,3,3
Si293H172,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-4,4,1,1,1
Si293H172,homo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-5,5,1,5,5
Si293H172,lumo,auto_r3,AUTO_RI,3,AUTO-RI_radius-3_RI-AO-ratio-5,5,1,2,2
Si293H172,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1,1,1,87,87
Si293H172,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1,1,1,153,153
Si293H172,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,45,45
Si293H172,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,49,49
Si293H172,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-2,2,1,10,10
Si293H172,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-2,2,1,14,14
Si293H172,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-3,3,1,1,1
Si293H172,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-3,3,1,0,1
Si293H172,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-4,4,1,5,5
Si293H172,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-4,4,1,4,4
Si293H172,homo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-5,5,1,4,4
Si293H172,lumo,auto_r5,AUTO_RI,5,AUTO-RI_radius-5_RI-AO-ratio-5,5,1,1,1
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.918405288164,1,163,163
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.918405288164,1,111,111
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.32761826069,1,123,123
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.32761826069,1,68,68
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.81181574055,1,30,30
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.81181574055,1,1,1
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.84734558975,1,31,31
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.84734558975,1,7,7
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.61970667218,1,12,12
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.61970667218,1,2,2
Si293H172,homo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.11443916546,1,2,2
Si293H172,lumo,tabulated,tabulated_RI,,Tabulated_t1e-6,3.11443916546,1,1,1
