system,orbital,series,method,neighbor_radius_angstrom,point,x_ri_ao_ratio,valid_calculations,error_raw_meV,error_plotted_meV
Si45H56,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1,1.0,1,165.00000000000014,165.00000000000014
Si45H56,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,35.00000000000014,35.00000000000014
Si45H56,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,55.000000000000156,55.000000000000156
Si45H56,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-2,2.0,1,9.000000000000341,9.000000000000341
Si45H56,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-2,2.0,1,10.000000000000009,10.000000000000009
Si45H56,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-3,3.0,1,0.9999999999994458,1.0
Si45H56,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-3,3.0,1,2.0000000000000018,2.0000000000000018
Si45H56,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-4,4.0,1,3.0000000000001137,3.0000000000001137
Si45H56,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-4,4.0,1,0.0,1.0
Si45H56,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-5,5.0,1,3.9999999999995595,3.9999999999995595
Si45H56,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-5,5.0,1,0.0,1.0
Si45H56,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1,1.0,1,113.99999999999989,113.99999999999989
Si45H56,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1,1.0,1,215.00000000000009,215.00000000000009
Si45H56,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,60.99999999999994,60.99999999999994
Si45H56,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,66.00000000000006,66.00000000000006
Si45H56,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-2,2.0,1,22.00000000000024,22.00000000000024
Si45H56,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-2,2.0,1,22.00000000000002,22.00000000000002
Si45H56,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-3,3.0,1,12.9999999999999,12.9999999999999
Si45H56,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-3,3.0,1,2.0000000000000018,2.0000000000000018
Si45H56,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-4,4.0,1,9.000000000000341,9.000000000000341
Si45H56,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-4,4.0,1,2.0000000000000018,2.0000000000000018
Si45H56,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-5,5.0,1,6.000000000000227,6.000000000000227
Si45H56,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-5,5.0,1,1.000000000000112,1.000000000000112
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.8056460369163952,1,173.00000000000006,173.00000000000006
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-1,0.8056460369163952,1,136.0000000000001,136.0000000000001
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.232356134636265,1,125.0,125.0
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-2,1.232356134636265,1,79.00000000000018,79.00000000000018
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.6232356134636265,1,36.99999999999992,36.99999999999992
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-3,1.6232356134636265,1,8.000000000000007,8.000000000000007
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.6840390879478828,1,39.00000000000059,39.00000000000059
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-4,1.6840390879478828,1,5.999999999999783,5.999999999999783
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.403908794788274,1,28.00000000000047,28.00000000000047
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-5,2.403908794788274,1,0.0,1.0
Si45H56,homo,tabulated,tabulated_RI,,Tabulated_t1e-6,2.8675352877307274,1,4.000000000000448,4.000000000000448
Si45H56,lumo,tabulated,tabulated_RI,,Tabulated_t1e-6,2.8675352877307274,1,2.0000000000000018,2.0000000000000018
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1.0,1,59.99999999999961,59.99999999999961
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1,1.0,1,188.00000000000017,188.00000000000017
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,4.999999999999893,4.999999999999893
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-1p5,1.5,1,32.999999999999915,32.999999999999915
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2.0,1,1.9999999999997797,1.9999999999997797
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-2,2.0,1,15.000000000000124,15.000000000000124
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3.0,1,0.0,1.0
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-3,3.0,1,0.0,1.0
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4.0,1,1.9999999999997797,1.9999999999997797
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-4,4.0,1,0.9999999999998899,1.0
Si293H172,homo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5.0,1,1.9999999999997797,1.9999999999997797
Si293H172,lumo,auto_r0.5,AUTO_RI,0.5,AUTO-RI_radius-0p5_RI-AO-ratio-5,5.0,1,0.9999999999998899,1.0
Si293H172,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1,1.0,1,52.999999999999936,52.999999999999936
Si293H172,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1,1.0,1,87.00000000000018,87.00000000000018
Si293H172,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,11.999999999999567,11.999999999999567
Si293H172,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-1p5,1.5,1,4.0000000000000036,4.0000000000000036
Si293H172,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-2,2.0,1,4.999999999999893,4.999999999999893
Si293H172,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-2,2.0,1,3.0000000000001137,3.0000000000001137
Si293H172,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-3,3.0,1,3.0000000000001137,3.0000000000001137
Si293H172,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-3,3.0,1,2.000000000000224,2.000000000000224
Si293H172,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-4,4.0,1,3.0000000000001137,3.0000000000001137
Si293H172,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-4,4.0,1,0.9999999999998899,1.0
Si293H172,homo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-5,5.0,1,4.999999999999893,4.999999999999893
Si293H172,lumo,auto_r3,AUTO_RI,3.0,AUTO-RI_radius-3_RI-AO-ratio-5,5.0,1,2.000000000000224,2.000000000000224
Si293H172,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1,1.0,1,86.99999999999974,86.99999999999974
Si293H172,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1,1.0,1,153.00000000000003,153.00000000000003
Si293H172,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,44.99999999999993,44.99999999999993
Si293H172,lumo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-1p5,1.5,1,48.99999999999993,48.99999999999993
Si293H172,homo,auto_r5,AUTO_RI,5.0,AUTO-RI_radius-5_RI-AO-ratio-2,2.0,1,9.999999999999787,9.999999999999787
